Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Devtome_Writer,17wwzTrWrk1buS9bxEFdgTsvhiyrDakBZe,0,0,0,10248,10248,10248,10,10,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10,13,0.769,0.959,0.696,0.0,0
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,16281,4884,69,93308,109589,98882,99,99,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,31,0.0645,0.0382,0.604,0.0,0
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,2,2077,2077,2097,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,0.0,0.0,0.6,0.0,0
Dinkleberg,1Mnd6HGYcoNryKT2bkaT55BPsVK1a8o49u,0,0,93,25503,25503,26433,26,25,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31,31,1.0,1.35,0.735,1.02,1
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,5,9241,9241,9291,9,9,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8,0.0,0.0,0.6,0.0,0
Ecafe,17tRggPGbLBVWFBoySALZXTABD2zSe3kEW,0,0,0,62833,62833,62833,63,63,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13,13,1.0,1.35,0.735,0.0,0
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,0,0,4,671052,671052,671092,339,289,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53,54,0.981,1.32,0.732,1.02,51
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5518,5518,5518,6,6,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,10577,3173,2,13940,24517,17133,17,17,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,12,0.0833,0.0533,0.605,0.0,0
Eroxors,1GhARG75QssPfXntVLW5wwpqPP6H2fRbmo
Estera,14VRNYCwocTSAyPprHnKx12Eim6jDBHYZq,0,0,0,16888,16888,16888,17,17,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,11,0.0,0.0,0.6,0.0,0
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,0,0,203,292489,292489,294519,295,275,20,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,126,126,1.0,1.35,0.735,1.02,20
Flam,167fASsEEnKszkd8PdNRMB1HWTnxcNRgbR,0,0,393,56678,56678,60608,61,18,43,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39,40,0.975,1.31,0.731,1.01,44
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,12,22105,22105,22225,22,22,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22,30,0.733,0.902,0.69,0.0,0
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,7,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,4,0.0,0.0,0.6,0.0,0
Giftculturewriting,16GGzGGsTtzvUdTHoWFJtWXXWdpPWwxr3u,0,0,11,42071,42071,42181,42,28,14,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,18,1.0,1.35,0.735,1.02,14
Glongsword,1CRfD8qjUd8uKnYX35oxz8qAYrCnn2Zryc,0,0,0,1110,1110,1110,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Gorgorom,1EgZsQ6zxrA5bCtMMR1uWAcjfqt7n8GNRJ,5993,1797,4,4865,10858,6702,7,5,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6,0.0,0.0,0.6,0.833,2
Grantbills,1Dz6fEZma7bUwnGo44yRjgduP71cWtkgS4,0,0,3,28347,28347,28377,28,28,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11,19,0.579,0.663,0.666,0.0,0
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,1.0,1.35,0.735,0.0,0
Hayek,1KqMSjRnFpeWQUhDh3p2tGtRnPuZV486sM,0,0,9,30395,30395,30485,30,30,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,55,0.327,0.316,0.632,0.0,0
Heliumbm,1Fm4p5nVbKxaYaQz4kuANQG2scDBLRvECJ,0,0,0,17649,17649,17649,18,18,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,5,0.6,0.695,0.669,0.0,0
Hellinoos,1GnJic1ATC7R7cbzBR6Q7Yqziv7bwj8aQY,0,0,0,14731,14731,14731,15,15,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,4,1.0,1.35,0.735,0.0,0
Hemingway,1Mrin7GnKsBPJ78mqZiChKzNtY5WC84WFZ,0,0,0,24213,24213,24213,24,25,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,18,0.0,0.0,0.6,0.0,0
Hunterbunter,17qBxPE1e84se785Yn3BupFRPPekEc15Pv,0,0,1,25729,25729,25739,26,24,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,0.333,0.323,0.632,0.878,2
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,0.0,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
